Ward Code,nimdm_ward_lgd,official_ward_lgd,SOA Code,SOA Name
95GG39,Shaftesbury Belfast,SHAFTESBURY BELFAST,95GG39S3,Shaftesbury 3
95GG40,Shankill Belfast,SHANKILL BELFAST,95GG40S1,Shankill 1
95GG40,Shankill Belfast,SHANKILL BELFAST,95GG40S2,Shankill 2
95GG41,Stormont Belfast,STORMONT BELFAST,95GG41S1,Stormont 1
95GG41,Stormont Belfast,STORMONT BELFAST,95GG41S2,Stormont 2
95GG41,Stormont Belfast,STORMONT BELFAST,95GG41S3,Stormont 3
95GG42,Stranmillis Belfast,STRANMILLIS BELFAST,95GG42S1,Stranmillis 1
95GG42,Stranmillis Belfast,STRANMILLIS BELFAST,95GG42S2,Stranmillis 2
95GG42,Stranmillis Belfast,STRANMILLIS BELFAST,95GG42S3,Stranmillis 3
95GG42,Stranmillis Belfast,STRANMILLIS BELFAST,95GG42S4,Stranmillis 4
95GG43,Sydenham Belfast,SYDENHAM BELFAST,95GG43S1,Sydenham 1
95GG43,Sydenham Belfast,SYDENHAM BELFAST,95GG43S2,Sydenham 2
95GG43,Sydenham Belfast,SYDENHAM BELFAST,95GG43S3,Sydenham 3
95GG44,The Mount Belfast,THE MOUNT BELFAST,95GG44S1,The Mount 1
95GG44,The Mount Belfast,THE MOUNT BELFAST,95GG44S2,The Mount 2
95GG45,Upper Malone Belfast,UPPER MALONE BELFAST,95GG45S1,Upper Malone 1
95GG45,Upper Malone Belfast,UPPER MALONE BELFAST,95GG45S2,Upper Malone 2
95GG45,Upper Malone Belfast,UPPER MALONE BELFAST,95GG45S3,Upper Malone 3
95GG46,Upper Springfield Belfast,UPPER SPRINGFIELD BELFAST,95GG46S1,Upper Springfield 1
95GG46,Upper Springfield Belfast,UPPER SPRINGFIELD BELFAST,95GG46S2,Upper Springfield 2
95GG46,Upper Springfield Belfast,UPPER SPRINGFIELD BELFAST,95GG46S3,Upper Springfield 3
95GG47,Water Works Belfast,WATER WORKS BELFAST,95GG47S1,Water Works 1
95GG47,Water Works Belfast,WATER WORKS BELFAST,95GG47S2,Water Works 2
95GG47,Water Works Belfast,WATER WORKS BELFAST,95GG47S3,Water Works 3
95GG48,Whiterock Belfast,WHITEROCK BELFAST,95GG48S1,Whiterock 1
95GG48,Whiterock Belfast,WHITEROCK BELFAST,95GG48S2,Whiterock 2
95GG48,Whiterock Belfast,WHITEROCK BELFAST,95GG48S3,Whiterock 3
95GG49,Windsor Belfast,WINDSOR BELFAST,95GG49S1,Windsor 1
95GG49,Windsor Belfast,WINDSOR BELFAST,95GG49S2,Windsor 2
95GG49,Windsor Belfast,WINDSOR BELFAST,95GG49S3,Windsor 3
95GG49,Windsor Belfast,WINDSOR BELFAST,95GG49S4,Windsor 4
95GG50,Woodstock Belfast,WOODSTOCK BELFAST,95GG50S1,Woodstock 1
95GG50,Woodstock Belfast,WOODSTOCK BELFAST,95GG50S2,Woodstock 2
95GG50,Woodstock Belfast,WOODSTOCK BELFAST,95GG50S3,Woodstock 3
95GG51,Woodvale Belfast,WOODVALE BELFAST,95GG51S1,Woodvale 1
95GG51,Woodvale Belfast,WOODVALE BELFAST,95GG51S2,Woodvale 2
